"","kMEgreen","kMEturquoise","kMEblack","kMEpink","kMEgrey"
"A2M",0.490392752914383,0.513261017611157,-0.790770532388995,-0.32153075948081,-0.273362974751336
"AAK1",-0.410908059009488,-0.596930279787534,0.907083451594989,0.750823145590171,0.44896434860987
"AARS",0.288823178516349,0.0057685039305365,0.423535068745165,0.245083801368564,0.641371442631834
"AASDHPPT",-0.302844390367264,-0.42530521858653,0.808361261193045,0.529558464182193,0.555262322644515
"ABAT",0.239956220093471,0.677723219736282,-0.662830106399011,-0.362905016401946,-0.137280353674444
"ABCA8",0.627452495627085,0.651785509051533,-0.446391478655401,-0.0723724220587821,0.223217691243745
"ABCB1",0.245129064375277,0.426639145167352,-0.48270901749883,-0.407253097408474,-0.0364218514771996
"ABCC4",0.745057036654545,0.912582194956682,-0.686132507197742,-0.386928078798393,0.240546605239866
"ABHD10",0.471880564425114,0.693076064777923,-0.60223829223412,-0.57119539434869,0.048106077140775
"ABHD12",0.763360181003724,0.669218378593291,-0.354036778432903,-0.242486240113376,0.482885294003233
"ABHD14B",0.912491031486008,0.885303882637876,-0.727887997054891,-0.560752071700137,0.237917765081021
"ABI1",-0.159537616859598,-0.190808563475835,0.490425445521563,0.0874440825155355,0.45914882912304
"ABI2",-0.545984587744622,-0.668310510698432,0.851996711406656,0.542494240645472,0.289563704927046
"ABLIM1",0.347208841340908,0.427776690238972,-0.196547690473545,-0.45549638157015,0.271438050660737
"ABR",0.13768596252496,0.272250617056949,0.2606048265716,0.145746901995954,0.724245253012498
"ACAA1",0.896543488703977,0.829083201120401,-0.570181976152465,-0.458136029368996,0.388034096561372
"ACAA2",0.477567849529987,0.85392523523389,-0.720224831374912,-0.532296842451566,0.00477220750848957
"ACADM",0.388246567199292,0.813670986620692,-0.613477203973696,-0.522664595245638,0.10475435726763
"ACADVL",0.549890091621207,0.926830135932671,-0.679675702419428,-0.495125959231021,0.202470141608237
"ACAN",-0.0228381709583784,0.234094657265836,-0.599699891123763,-0.202101092181277,-0.459441481905624
"ACAT1",0.377555860765707,0.793168863426016,-0.825249260608577,-0.54028872945148,-0.199789282150178
"ACAT2",-0.691450606111906,-0.711921907000194,0.666449268784951,0.419626681756045,-0.147660128784056
"ACBD7",-0.25121408858511,-0.340664252387732,0.368513018120217,0.0966866782990184,0.027048481180872
"ACLY",-0.339002721894194,-0.60660166954686,0.843577259534669,0.724046927817642,0.427100889106735
"ACO1",0.0555396938042056,0.230502128828444,-0.142277727527447,-0.232654388966975,0.225994028103698
"ACO2",0.411064956519405,0.822526829966694,-0.800859966836728,-0.53115035777133,-0.105893306102484
"ACOT1",0.344529821563695,0.508612269684341,-0.406612823112953,-0.517484611069986,0.151157129414005
"ACOT7",-0.795908494398446,-0.899601115651825,0.837260978331713,0.528276751846735,-0.0772306530309812
"ACOX1",0.844973570514038,0.916447727287655,-0.580320309634172,-0.447187460826865,0.380535587915551
"ACP1",-0.4330901265885,-0.621371065860452,0.405047413313262,0.165336961511374,-0.296017629270137
"ACP2",0.652536754806681,0.8269727073093,-0.696869638263895,-0.248146561877714,0.131380984920694
"ACSBG1",-0.570221296361425,-0.579926796408163,0.538727381152932,0.460910316283605,-0.103896225697926
"ACSL6",0.701295704523048,0.449698693401739,0.0101904992940578,0.0541774214932493,0.702382655781138
"ACSS1",0.549345345584683,0.782839206967551,-0.407571802816033,-0.310051645531293,0.355584336097246
"ACSS3",0.396536617284367,0.782209870897431,-0.569237730815229,-0.277840184007945,0.189660074607937
"ACTC1",-0.0136608433843334,-0.0469980888319025,-0.143449259522604,0.273502153489742,-0.384407190213259
"ACTG1",0.358889018855645,0.245458298085749,-0.351039857532098,0.24379567243594,0.0313272212725801
"ACTN1",-0.316629100399708,-0.205219176126488,-0.0225238827240086,0.412850474872278,-0.369084795587996
"ACTN4",0.219783453502431,0.456606767282874,-0.496776759348975,-0.030446197122651,-0.160245887361706
"ACTR1A",-0.161710436589805,-0.385121466534236,0.530817869831765,0.858152457982988,0.217933727801446
"ACTR1B",-0.189785565844452,-0.376571737958523,0.487569007421509,0.816460662591219,0.155030345406886
"ACTR2",0.376844404443323,0.316141374482238,-0.162202848839173,0.326026013860041,0.288741571646448
"ACTR3",0.560685627290792,0.563845770499762,-0.458016337768138,0.0150881558694509,0.246038125108465
"ACTR3B",-0.493408198298537,-0.672264323885165,0.855284901392057,0.771876137079246,0.297291635380722
"ACY1",0.434695690940063,0.693095279887365,-0.658189825451106,-0.45548090722825,-0.141617507052457
"ACYP1",-0.465554455807535,-0.486277520716614,0.323738670356473,-0.101966923135565,-0.317662983857378
"ACYP2",-0.072391544981795,-0.13674707026236,-0.0892277116024491,-0.284401257061715,-0.388872682806138
