moduleColors,name,selected,shared name,SIGNOR::Cell_type,SIGNOR::DATABASE,SIGNOR::ENTITY,SIGNOR::ID,SIGNOR::TYPE,Cell
,C3 convertase complex,FALSE,C3 convertase complex,,SIGNOR,C3 convertase complex,SIGNOR-C310,complex,complex
,Complement C1 complex,FALSE,Complement C1 complex,,SIGNOR,Complement C1 complex,SIGNOR-C309,complex,complex
,C5 convertase complex,FALSE,C5 convertase complex,,SIGNOR,C5 convertase complex,SIGNOR-C312,complex,complex
,C3 convertase complex (C3bBb),FALSE,C3 convertase complex (C3bBb),,SIGNOR,C3 convertase complex (C3bBb),SIGNOR-C314,complex,complex
,C5 convertase complex (C3bBbC3b),FALSE,C5 convertase complex (C3bBbC3b),,SIGNOR,C5 convertase complex (C3bBbC3b),SIGNOR-C315,complex,complex
,SNARE_complex,FALSE,SNARE_complex,,SIGNOR,SNARE_complex,SIGNOR-C346,complex,complex
,NMDA receptor_2A,FALSE,NMDA receptor_2A,,SIGNOR,NMDA receptor_2A,SIGNOR-C347,complex,complex
,NMDA receptor_2B,FALSE,NMDA receptor_2B,,SIGNOR,NMDA receptor_2B,SIGNOR-C348,complex,complex
,Neuronal AP-3,FALSE,Neuronal AP-3,,SIGNOR,Neuronal AP-3,SIGNOR-C445,complex,complex
,ETF,FALSE,ETF,,SIGNOR,ETF,SIGNOR-C463,complex,complex
,mTORC2,FALSE,mTORC2,,SIGNOR,mTORC2,SIGNOR-C2,complex,complex
,PI3K,FALSE,PI3K,,SIGNOR,PI3K,SIGNOR-C156,complex,complex
,A2/b1 integrin,FALSE,A2/b1 integrin,,SIGNOR,A2/b1 integrin,SIGNOR-C160,complex,complex
,A6/b1 integrin,FALSE,A6/b1 integrin,,SIGNOR,A6/b1 integrin,SIGNOR-C164,complex,complex
,A6/b4 integrin,FALSE,A6/b4 integrin,,SIGNOR,A6/b4 integrin,SIGNOR-C174,complex,complex
,A8/b1 integrin,FALSE,A8/b1 integrin,,SIGNOR,A8/b1 integrin,SIGNOR-C165,complex,complex
,A9/b1 integrin,FALSE,A9/b1 integrin,,SIGNOR,A9/b1 integrin,SIGNOR-C166,complex,complex
,NfKb-p65/p50,FALSE,NfKb-p65/p50,,SIGNOR,NfKb-p65/p50,SIGNOR-C13,complex,complex
,GNB/GNG,FALSE,GNB/GNG,,SIGNOR,GNB/GNG,SIGNOR-C202,complex,complex
,MAPK12/CARM1,FALSE,MAPK12/CARM1,,SIGNOR,MAPK12/CARM1,SIGNOR-C218,complex,complex
,DGC,FALSE,DGC,,SIGNOR,DGC,SIGNOR-C217,complex,complex
,Av/b3 integrin,FALSE,Av/b3 integrin,,SIGNOR,Av/b3 integrin,SIGNOR-C177,complex,complex
,Endocytosis,FALSE,Endocytosis,,SIGNOR,Endocytosis,SIGNOR-PH123,phenotype,phenotype
,Exocytosis,FALSE,Exocytosis,,SIGNOR,Exocytosis,SIGNOR-PH157,phenotype,phenotype
