,Gene,Comparison,Significance
PSP_vs_CTL.NRN1,NRN1,PSP_vs_CTL,Significant
PSP_vs_CTL.LYN,LYN,PSP_vs_CTL,Significant
PSP_vs_CTL.GNG4,GNG4,PSP_vs_CTL,Significant
PiD_vs_CTL.GPR158,GPR158,PiD_vs_CTL,Significant
PiD_vs_CTL.GRM3,GRM3,PiD_vs_CTL,Significant
PiD_vs_CTL.GNG7,GNG7,PiD_vs_CTL,Significant
PiD_vs_CTL.ADAM10,ADAM10,PiD_vs_CTL,Significant
PiD_vs_CTL.GNB5,GNB5,PiD_vs_CTL,Significant
PiD_vs_CTL.RGS7,RGS7,PiD_vs_CTL,Significant
PiD_vs_CTL.HSPA2,HSPA2,PiD_vs_CTL,Significant
PiD_vs_CTL.PVRL1,PVRL1,PiD_vs_CTL,Significant
PiD_vs_CTL.VPS25,VPS25,PiD_vs_CTL,Significant
PiD_vs_CTL.PRRT3,PRRT3,PiD_vs_CTL,Significant
PiD_vs_CTL.ACTR3B,ACTR3B,PiD_vs_CTL,Significant
PiD_vs_CTL.SYT7,SYT7,PiD_vs_CTL,Significant
PiD_vs_CTL.PLXNA1,PLXNA1,PiD_vs_CTL,Significant
PiD_vs_CTL.FTH1,FTH1,PiD_vs_CTL,Significant
PiD_vs_CTL.HOMER1,HOMER1,PiD_vs_CTL,Significant
PiD_vs_CTL.DPP10,DPP10,PiD_vs_CTL,Significant
PiD_vs_CTL.RPH3A,RPH3A,PiD_vs_CTL,Significant
PiD_vs_CTL.DLG4,DLG4,PiD_vs_CTL,Significant
PiD_vs_CTL.CPNE4,CPNE4,PiD_vs_CTL,Significant
PiD_vs_CTL.CYFIP2,CYFIP2,PiD_vs_CTL,Significant
PiD_vs_CTL.SYT1,SYT1,PiD_vs_CTL,Significant
PiD_vs_CTL.AGT,AGT,PiD_vs_CTL,Significant
PiD_vs_CTL.RAB31,RAB31,PiD_vs_CTL,Significant
PiD_vs_CTL.NRN1,NRN1,PiD_vs_CTL,Significant
PiD_vs_CTL.PPP3CB,PPP3CB,PiD_vs_CTL,Significant
PiD_vs_CTL.CORO1A,CORO1A,PiD_vs_CTL,Significant
PiD_vs_CTL.KIAA0513,KIAA0513,PiD_vs_CTL,Significant
PiD_vs_CTL.DNAJC5,DNAJC5,PiD_vs_CTL,Significant
PiD_vs_CTL.RAB3A,RAB3A,PiD_vs_CTL,Significant
PiD_vs_CTL.DLG3,DLG3,PiD_vs_CTL,Significant
PiD_vs_CTL.PSME1,PSME1,PiD_vs_CTL,Significant
PiD_vs_CTL.DNM1,DNM1,PiD_vs_CTL,Significant
PiD_vs_CTL.SGIP1,SGIP1,PiD_vs_CTL,Significant
PiD_vs_CTL.PPP5C,PPP5C,PiD_vs_CTL,Significant
PiD_vs_CTL.STX12,STX12,PiD_vs_CTL,Significant
PiD_vs_CTL.HPCAL1,HPCAL1,PiD_vs_CTL,Significant
PiD_vs_CTL.SEPTIN7,SEPTIN7,PiD_vs_CTL,Significant
PiD_vs_CTL.KIF5C,KIF5C,PiD_vs_CTL,Significant
PiD_vs_CTL.SLC44A1,SLC44A1,PiD_vs_CTL,Significant
PiD_vs_CTL.PSD3,PSD3,PiD_vs_CTL,Significant
PiD_vs_CTL.LYN,LYN,PiD_vs_CTL,Significant
PiD_vs_CTL.PLXNA4,PLXNA4,PiD_vs_CTL,Significant
PiD_vs_CTL.SMPD3,SMPD3,PiD_vs_CTL,Significant
PiD_vs_CTL.GRM2,GRM2,PiD_vs_CTL,Significant
PiD_vs_CTL.NSF,NSF,PiD_vs_CTL,Significant
PiD_vs_CTL.RHOB,RHOB,PiD_vs_CTL,Significant
PiD_vs_CTL.YKT6,YKT6,PiD_vs_CTL,Significant
PiD_vs_CTL.BASP1,BASP1,PiD_vs_CTL,Significant
PiD_vs_CTL.ATP2B2,ATP2B2,PiD_vs_CTL,Significant
PiD_vs_CTL.FGF1,FGF1,PiD_vs_CTL,Significant
PiD_vs_CTL.DLG2,DLG2,PiD_vs_CTL,Significant
PiD_vs_CTL.PTPN11,PTPN11,PiD_vs_CTL,Significant
PiD_vs_CTL.EPHA4,EPHA4,PiD_vs_CTL,Significant
PiD_vs_CTL.SLC2A3,SLC2A3,PiD_vs_CTL,Significant
PiD_vs_CTL.DNM1L,DNM1L,PiD_vs_CTL,Significant
PiD_vs_CTL.PLCB1,PLCB1,PiD_vs_CTL,Significant
PiD_vs_CTL.YARS,YARS,PiD_vs_CTL,Significant
PiD_vs_CTL.DPP6,DPP6,PiD_vs_CTL,Significant
PiD_vs_CTL.GIT1,GIT1,PiD_vs_CTL,Significant
PiD_vs_CTL.PTPRD,PTPRD,PiD_vs_CTL,Significant
PiD_vs_CTL.PDE2A,PDE2A,PiD_vs_CTL,Significant
PiD_vs_CTL.RAB35,RAB35,PiD_vs_CTL,Significant
PiD_vs_CTL.KIF2A,KIF2A,PiD_vs_CTL,Significant
PiD_vs_CTL.AP2A1,AP2A1,PiD_vs_CTL,Significant
PiD_vs_CTL.SOGA3,SOGA3,PiD_vs_CTL,Significant
PiD_vs_CTL.GABBR2,GABBR2,PiD_vs_CTL,Significant
PiD_vs_CTL.AP3B2,AP3B2,PiD_vs_CTL,Significant
PiD_vs_CTL.NCALD,NCALD,PiD_vs_CTL,Significant
PiD_vs_CTL.GNAZ,GNAZ,PiD_vs_CTL,Significant
PiD_vs_CTL.SEPTIN11,SEPTIN11,PiD_vs_CTL,Significant
PiD_vs_CTL.PTPRS,PTPRS,PiD_vs_CTL,Significant
PiD_vs_CTL.SNAP25,SNAP25,PiD_vs_CTL,Significant
PiD_vs_CTL.VAMP2,VAMP2,PiD_vs_CTL,Significant
PiD_vs_CTL.SLC1A2,SLC1A2,PiD_vs_CTL,Significant
PiD_vs_CTL.SYN1,SYN1,PiD_vs_CTL,Significant
PiD_vs_CTL.PCBD1,PCBD1,PiD_vs_CTL,Significant
PiD_vs_CTL.NCK2,NCK2,PiD_vs_CTL,Significant
PiD_vs_CTL.STXBP1,STXBP1,PiD_vs_CTL,Significant
PiD_vs_CTL.TLN2,TLN2,PiD_vs_CTL,Significant
PiD_vs_CTL.LASP1,LASP1,PiD_vs_CTL,Significant
PiD_vs_CTL.CAP2,CAP2,PiD_vs_CTL,Significant
PiD_vs_CTL.TIPRL,TIPRL,PiD_vs_CTL,Significant
PiD_vs_CTL.STXBP5,STXBP5,PiD_vs_CTL,Significant
PiD_vs_CTL.STX1A,STX1A,PiD_vs_CTL,Significant
PiD_vs_CTL.SH3GL1,SH3GL1,PiD_vs_CTL,Significant
PiD_vs_CTL.RUFY3,RUFY3,PiD_vs_CTL,Significant
PiD_vs_CTL.HDGF,HDGF,PiD_vs_CTL,Significant
PiD_vs_CTL.SEPTIN8,SEPTIN8,PiD_vs_CTL,Significant
PiD_vs_CTL.GAP43,GAP43,PiD_vs_CTL,Significant
