"","Gene","Module","kME"
"1","STXBP1","black",0.992043408747322
"2","AP2A1","black",0.983385047724274
"3","KCTD16","black",0.977020572488687
"4","USP14","black",0.97292062041735
"5","ROCK2","black",0.972472221720472
"6","SYT7","black",0.97182912701787
"7","MAPRE3","black",0.969787653264507
"8","KIAA0513","black",0.969388118938671
"9","DNM1L","black",0.969052519492801
"10","NAPB","black",0.96788318958107
"11","CADPS","black",0.965116104801789
"12","AP2B1","black",0.964846765412949
"13","STXBP5","black",0.964813177549062
"14","USP7","black",0.964494379720559
"15","WDR47","black",0.963705368500879
"16","MAP2K1","black",0.962386621805033
"17","NSF","black",0.961148853871174
"18","STX1A","black",0.960339613009335
"19","SCN2A","black",0.960172587874767
"20","AP3B2","black",0.956355916038362
"21","CLTB","black",0.955145869006094
"22","SH3GL3","black",0.955014772428591
"23","AP3D1","black",0.953874234048547
"25","PLXNA4","black",0.950681619183924
"26","PTPRD","black",0.948429013635609
"27","TIPRL","black",0.948145201680564
"28","DNM1","black",0.947828658226353
"29","GNAZ","black",0.947210427836351
"30","AP2A2","black",0.945267436066998
"31","PLXNA1","black",0.943687900173865
"32","SH3GL2","black",0.943020737584457
"33","RAB3A","black",0.942378422773989
"34","PIN1","black",0.941228004252618
"35","EPHA4","black",0.938712632088136
"36","PPP3CA","black",0.938443969226901
"37","KIF2A","black",0.938100638118189
"39","SNAP25","black",0.937075092059326
"40","DLG4","black",0.936379462466496
"41","KIF5C","black",0.934869896461906
"42","DPP6","black",0.934174794625631
"43","DNAJC6","black",0.934025905748138
"44","SGIP1","black",0.933758783353559
"45","PACS1","black",0.932757838095347
"47","OTUB1","black",0.930818801323764
"48","YWHAH","black",0.930788896375804
"49","PPP2R2A","black",0.930773957164771
"50","SBF1","black",0.929051556159153
"51","MAPRE2","black",0.928436778271981
"53","LANCL2","black",0.926890278293759
"54","PPP3CB","black",0.926399323226332
"55","DLG3","black",0.926116416063444
"56","PTPRS","black",0.926010349481184
"57","PDE2A","black",0.925417993468561
"58","GIT1","black",0.925374006700381
"59","RAB35","black",0.924941698219217
