Gene names,riBAQ 17,riBAQ 18,riBAQ 35,riBAQ 36,riBAQ 19,riBAQ 20,riBAQ 21,riBAQ 22,riBAQ 23,riBAQ 37,riBAQ 38,riBAQ 39,riBAQ 40,riBAQ 41,riBAQ 24,riBAQ 25,riBAQ 26,riBAQ 42,riBAQ 43
A2M,6.08E-05,8.62E-06,1.80E-05,6.07E-06,0.00013678,9.64E-05,0.000162344,0.00011007,7.17E-05,6.52E-05,7.48E-05,0.000101311,0.000109355,9.96E-05,0.000239305,0.000110982,0.000201504,0.000187988,9.21E-05
AAK1,2.31E-05,7.45E-05,4.62E-05,6.51E-05,2.36E-05,3.80E-05,3.95E-05,1.87E-05,2.02E-05,3.71E-05,4.87E-05,0,0,2.58E-05,1.42E-05,0,0,0,1.09E-05
AARS,3.14E-05,9.16E-05,9.04E-05,8.33E-05,4.07E-05,9.39E-05,5.40E-05,5.11E-05,4.49E-05,6.04E-05,9.36E-05,5.71E-05,5.00E-05,5.24E-05,4.93E-05,7.22E-05,7.55E-05,7.96E-05,5.23E-05
AASDHPPT,3.69E-05,5.02E-05,6.97E-05,6.09E-05,4.44E-05,4.52E-05,2.81E-05,4.44E-05,2.38E-05,3.07E-05,5.28E-05,0,0,4.57E-05,2.57E-05,1.99E-05,2.63E-05,1.83E-05,2.41E-05
ABAT,0.000181408,4.01E-05,8.26E-05,7.16E-05,9.33E-05,4.71E-05,0.000156678,8.60E-05,0.000120372,8.35E-05,5.17E-05,0.000103349,0.000119806,8.89E-05,0.000159678,0.000163976,0.000173274,8.13E-05,0.000256426
ABCA8,0,0,0,0,0,0,7.08E-06,0,6.70E-06,0,9.13E-06,0,0,0,0,6.45E-06,6.33E-06,8.81E-06,9.05E-06
ABCB1,1.39E-05,0,5.59E-06,3.33E-06,0,9.82E-06,6.01E-06,0,6.06E-06,4.47E-06,1.41E-05,9.27E-06,4.50E-06,5.84E-06,2.11E-05,1.68E-05,1.22E-05,5.67E-06,8.72E-06
ABCC4,0,0,0,0,0,0,7.05E-06,0,9.15E-06,0,6.32E-06,0,0,0,1.17E-05,1.51E-05,1.33E-05,1.51E-05,2.01E-05
ABHD10,3.30E-05,0,8.40E-06,0,0,0,0,0,1.74E-05,1.11E-05,0,1.40E-05,2.44E-05,0,3.54E-05,0,6.15E-05,3.65E-05,7.91E-05
ABHD12,0,1.68E-05,0,0,0,2.52E-05,0,0,0,2.69E-05,0,0,0,0,1.91E-05,2.36E-05,1.49E-05,2.70E-05,2.96E-05
ABHD14B,8.41E-05,8.46E-05,7.61E-05,9.12E-05,8.80E-05,0.000121396,9.63E-05,0.0001211,0.000103282,0.00010981,0.000119156,0.000117395,0.000117242,0.000102546,0.000174707,0.00022324,0.000183577,0.000286856,0.000209122
ABI1,4.69E-05,6.53E-05,4.67E-05,5.08E-05,9.19E-05,3.30E-05,0,5.82E-05,3.21E-05,3.47E-05,4.75E-05,1.53E-05,2.36E-05,2.68E-05,0,3.62E-05,2.80E-05,3.38E-05,4.21E-05
ABI2,0.00011337,0.000167586,0.000200291,0.000173282,0.000213354,0.000100795,0.000101229,0.000141107,9.21E-05,0.00013515,0.000112541,6.26E-05,8.72E-05,8.81E-05,6.03E-05,6.25E-05,4.23E-05,5.60E-05,4.50E-05
ABLIM1,0,1.02E-05,5.70E-06,1.01E-05,7.20E-06,0,0,6.66E-06,0,1.17E-05,9.56E-06,1.10E-05,1.20E-05,5.49E-06,5.88E-06,7.54E-06,1.82E-05,1.41E-05,1.17E-05
ABR,1.67E-05,3.08E-05,3.44E-05,2.74E-05,3.18E-05,1.97E-05,2.31E-05,1.72E-05,1.78E-05,3.00E-05,3.02E-05,1.47E-05,1.54E-05,1.73E-05,1.78E-05,3.68E-05,3.82E-05,2.09E-05,2.35E-05
ACAA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77E-05,2.69E-05,4.76E-05,2.45E-05
ACAA2,3.35E-05,0,2.97E-05,3.41E-05,1.73E-05,0,5.43E-05,2.36E-05,6.05E-05,4.77E-05,3.38E-05,3.49E-05,8.09E-05,3.64E-05,7.79E-05,0.000107212,0.000138025,6.48E-05,0.000150462
ACADM,1.66E-05,0,0,0,0,0,0,0,0,0,0,0,1.71E-05,0,1.69E-05,3.27E-05,3.45E-05,0,5.34E-05
ACADVL,1.54E-05,0,0,0,2.18E-05,0,1.29E-05,0,1.90E-05,7.88E-06,0,0,1.87E-05,4.64E-06,3.23E-05,7.99E-05,7.72E-05,2.60E-05,0.0001041
ACAN,0.000880634,0.000500637,0.000237609,0.000163845,0.000445218,0.000711338,0.00094941,0.000515597,0.00065846,0.000489223,0.000695839,0.000791366,0.000851152,0.000542896,0.001136632,0.00093521,0.00103506,0.000261609,0.00049335
ACAT1,7.74E-05,0,3.56E-05,2.71E-05,4.11E-05,2.04E-05,7.92E-05,5.32E-05,8.73E-05,3.99E-05,2.26E-05,5.77E-05,8.97E-05,5.37E-05,9.54E-05,0.000129646,0.00012664,6.39E-05,0.000146422
ACAT2,0.000151978,0.000183487,0.000183574,0.000203214,0.000129406,0.000149325,0.000152933,0.000190649,0.000177513,0.000214249,0.000142167,0.000113855,0.000171981,0.000239306,0.000109821,8.94E-05,0.000132694,8.19E-05,0.000106917
