"","Gene","Module","kME","Comparison"
"1","AAK1","black",0.907083451594989,"PiD_vs_CTL"
"2","ABHD14B","turquoise",0.885303882637876,"PiD_vs_CTL"
"3","ABI2","black",0.851996711406656,"PiD_vs_CTL"
"4","ACOT7","black",0.837260978331713,"PiD_vs_CTL"
"5","ACTR3B","black",0.855284901392057,"PiD_vs_CTL"
"6","ADRBK1","black",0.843226933918816,"PiD_vs_CTL"
"7","ALAD","turquoise",0.898932494364868,"PiD_vs_CTL"
"8","AP2A1","black",0.983385047724274,"PiD_vs_CTL"
"9","AP2A2","black",0.945267436066998,"PiD_vs_CTL"
"10","AP2B1","black",0.964846765412949,"PiD_vs_CTL"
"11","AP2M1","black",0.903911517739932,"PiD_vs_CTL"
"12","AP3B2","black",0.956355916038362,"PiD_vs_CTL"
"13","AP3D1","black",0.953874234048547,"PiD_vs_CTL"
"14","AP3M2","black",0.836160400932818,"PiD_vs_CTL"
"15","ARF1","black",0.879823362060096,"PiD_vs_CTL"
"16","ARHGDIA","black",0.888976243094253,"PiD_vs_CTL"
"17","ARHGEF7","black",0.888434488500153,"PiD_vs_CTL"
"18","ARPP19","grey",0.0753009282553501,"PiD_vs_CTL"
"19","ATP2B1","black",0.86062742464113,"PiD_vs_CTL"
"20","ATP2B3","black",0.84971979629123,"PiD_vs_CTL"
"21","BAIAP2","black",0.92243209283531,"PiD_vs_CTL"
"22","BSN","black",0.897065509963193,"PiD_vs_CTL"
"23","C11orf54","green",0.577686204887816,"PiD_vs_CTL"
"24","CADM3","black",0.837640997545799,"PiD_vs_CTL"
"25","CADPS","black",0.965116104801789,"PiD_vs_CTL"
"26","CAP2","black",0.884306969537783,"PiD_vs_CTL"
"27","CCNY","black",0.881426873678516,"PiD_vs_CTL"
"28","CLASP2","black",0.916714757045153,"PiD_vs_CTL"
"29","CLIP2","black",0.897960556223605,"PiD_vs_CTL"
"30","CLTB","black",0.955145869006094,"PiD_vs_CTL"
"31","CNRIP1","black",0.9114233969867,"PiD_vs_CTL"
"32","COPS5","black",0.853133484012701,"PiD_vs_CTL"
"33","CORO1A","black",0.917205695779957,"PiD_vs_CTL"
"34","CPLX2","black",0.870991815378054,"PiD_vs_CTL"
"35","CPNE4","black",0.921472776612459,"PiD_vs_CTL"
"36","CPNE5","black",0.872586354833883,"PiD_vs_CTL"
"37","CTBP1","black",0.893962910988338,"PiD_vs_CTL"
"38","CTSD","turquoise",0.908047571977092,"PiD_vs_CTL"
"39","DLG2","black",0.894897820695591,"PiD_vs_CTL"
"40","DLG3","black",0.926116416063444,"PiD_vs_CTL"
"41","DLG4","black",0.936379462466496,"PiD_vs_CTL"
"42","DNAJC6","black",0.934025905748138,"PiD_vs_CTL"
"43","DNM1","black",0.947828658226353,"PiD_vs_CTL"
"44","DNM1L","black",0.969052519492801,"PiD_vs_CTL"
"45","DPP10","black",0.900178734392658,"PiD_vs_CTL"
"46","DPP6","black",0.934174794625631,"PiD_vs_CTL"
"47","DPYSL4","black",0.846766881653539,"PiD_vs_CTL"
"48","EHD3","black",0.875388330900864,"PiD_vs_CTL"
"49","EPHA4","black",0.938712632088136,"PiD_vs_CTL"
"50","FSCN1","black",0.875678535807803,"PiD_vs_CTL"
"51","FSD1","black",0.859611397008013,"PiD_vs_CTL"
"52","GABBR1","black",0.874450970418545,"PiD_vs_CTL"
"53","GABBR2","black",0.839599746398989,"PiD_vs_CTL"
"54","GAS7","black",0.885063134951207,"PiD_vs_CTL"
"55","GIT1","black",0.925374006700381,"PiD_vs_CTL"
"56","GMPS","black",0.910756683335232,"PiD_vs_CTL"
"57","GNAZ","black",0.947210427836351,"PiD_vs_CTL"
"58","GNB5","black",0.858410188730682,"PiD_vs_CTL"
"59","GNG4","grey",0.442718979725988,"PSP_vs_CTL"
"60","GPR158","black",0.898648270237131,"PiD_vs_CTL"
"61","GRM2","black",0.892257301512761,"PiD_vs_CTL"
"62","GRM3","black",0.884670531784161,"PiD_vs_CTL"
"63","HEBP2","pink",-0.814324788541972,"PiD_vs_CTL"
"64","HGS","black",0.86893147623187,"PiD_vs_CTL"
"65","HPCAL1","black",0.885488975452317,"PiD_vs_CTL"
"66","HSPA12A","black",0.905231618336426,"PiD_vs_CTL"
"67","ITGB1","turquoise",0.952674324851686,"PiD_vs_CTL"
"68","KCTD16","black",0.977020572488687,"PiD_vs_CTL"
"69","KIAA0513","black",0.969388118938671,"PiD_vs_CTL"
"70","KIF21A","black",0.891183681306243,"PiD_vs_CTL"
"71","KIF2A","black",0.938100638118189,"PiD_vs_CTL"
"72","KIF5C","black",0.934869896461906,"PiD_vs_CTL"
"73","KLC1","black",0.877549932536101,"PiD_vs_CTL"
"74","LAMP2","turquoise",0.887199760283065,"PiD_vs_CTL"
"75","LANCL2","black",0.926890278293759,"PiD_vs_CTL"
"76","LAP3","turquoise",0.92659284285971,"PiD_vs_CTL"
"77","LASP1","black",0.900539404753157,"PiD_vs_CTL"
"78","LYN","grey",0.634091718406181,"PSP_vs_CTL"
"79","LYN","grey",0.634091718406181,"PiD_vs_CTL"
"80","MAP2K1","black",0.962386621805033,"PiD_vs_CTL"
"81","MAP2K4","black",0.855406657854298,"PiD_vs_CTL"
"82","MAPK10","black",0.859568947360099,"PiD_vs_CTL"
"83","MAPRE2","black",0.928436778271981,"PiD_vs_CTL"
"84","MAPRE3","black",0.969787653264507,"PiD_vs_CTL"
"85","NAPB","black",0.96788318958107,"PiD_vs_CTL"
"86","NCALD","black",0.885483543008257,"PiD_vs_CTL"
"87","NSF","black",0.961148853871174,"PiD_vs_CTL"
"88","OTUB1","black",0.930818801323764,"PiD_vs_CTL"
"89","PACS1","black",0.932757838095347,"PiD_vs_CTL"
"90","PACSIN1","black",0.88949280747866,"PiD_vs_CTL"
"91","PAFAH1B1","black",0.895187190544827,"PiD_vs_CTL"
"92","PAK1","black",0.837074669490144,"PiD_vs_CTL"
"93","PALM","black",0.841360693818476,"PiD_vs_CTL"
"94","PALM2","black",0.862240518620188,"PiD_vs_CTL"
"95","PDE2A","black",0.925417993468561,"PiD_vs_CTL"
"96","PDXP","black",0.860289817377443,"PiD_vs_CTL"
"97","PFKM","green",-0.675234924444163,"PiD_vs_CTL"
"98","PFKP","black",0.918011174970633,"PiD_vs_CTL"
"99","PFN2","black",0.852066727411843,"PiD_vs_CTL"
"100","PHYHIP","black",0.880006737665027,"PiD_vs_CTL"
"101","PI4KA","black",0.857990474943972,"PiD_vs_CTL"
"102","PIN1","black",0.941228004252618,"PiD_vs_CTL"
"103","PIP4K2B","black",0.872990990704201,"PiD_vs_CTL"
"104","PLCB1","black",0.852423424729345,"PiD_vs_CTL"
"105","PLIN3","green",0.774181161237621,"PiD_vs_CTL"
"106","PLXNA1","black",0.943687900173865,"PiD_vs_CTL"
"107","PLXNA4","black",0.950681619183924,"PiD_vs_CTL"
"108","PPFIA3","black",0.854098763756403,"PiD_vs_CTL"
"109","PPP1CB","black",0.836828613910252,"PiD_vs_CTL"
"110","PPP2R2A","black",0.930773957164771,"PiD_vs_CTL"
"111","PPP2R5E","black",0.916696135603407,"PiD_vs_CTL"
"112","PPP3CA","black",0.938443969226901,"PiD_vs_CTL"
"113","PPP3CB","black",0.926399323226332,"PiD_vs_CTL"
"114","PPP3R1","black",0.867761514447335,"PiD_vs_CTL"
"115","PREP","black",0.921430773179963,"PiD_vs_CTL"
"116","PSD3","black",0.894970515875897,"PiD_vs_CTL"
"117","PTGDS","pink",-0.770458522387535,"PiD_vs_CTL"
"118","PTPN11","black",0.920155276761037,"PiD_vs_CTL"
"119","PTPRC","green",0.854431739392721,"PiD_vs_CTL"
"120","PTPRD","black",0.948429013635609,"PiD_vs_CTL"
"121","PTPRS","black",0.926010349481184,"PiD_vs_CTL"
"122","PVRL1","black",0.905078087794284,"PiD_vs_CTL"
"123","RAB10","grey",0.0833261754600742,"PiD_vs_CTL"
"124","RAB14","black",0.845967867364098,"PiD_vs_CTL"
"125","RAB35","black",0.924941698219217,"PiD_vs_CTL"
"126","RAB3A","black",0.942378422773989,"PiD_vs_CTL"
"127","RAP1GAP","black",0.844801551378027,"PiD_vs_CTL"
"128","RDX","turquoise",0.941591549832534,"PiD_vs_CTL"
"129","RGS7","black",0.885125459641928,"PiD_vs_CTL"
"130","ROCK2","black",0.972472221720472,"PiD_vs_CTL"
"131","RPH3A","black",0.872192829267926,"PiD_vs_CTL"
"132","RTN1","pink",0.908853350331202,"PiD_vs_CTL"
"133","RUFY3","black",0.847189762846931,"PiD_vs_CTL"
"134","SBF1","black",0.929051556159153,"PiD_vs_CTL"
"135","SCAI","black",0.858445484012889,"PiD_vs_CTL"
"136","SCN2A","black",0.960172587874767,"PiD_vs_CTL"
"137","SEPTIN5","black",0.876126471688958,"PiD_vs_CTL"
"138","SGIP1","black",0.933758783353559,"PiD_vs_CTL"
"139","SH3GL1","black",0.879400153656334,"PiD_vs_CTL"
"140","SH3GL2","black",0.943020737584457,"PiD_vs_CTL"
"141","SH3GL3","black",0.955014772428591,"PiD_vs_CTL"
"142","SLC8A1","black",0.863350375352075,"PiD_vs_CTL"
"143","SLC8A2","black",0.924846098435065,"PiD_vs_CTL"
"144","SNAP25","black",0.937075092059326,"PiD_vs_CTL"
"145","SNAP91","black",0.908958699884364,"PiD_vs_CTL"
"146","SOGA3","black",0.894442667440929,"PiD_vs_CTL"
"147","STX1A","black",0.960339613009335,"PiD_vs_CTL"
"148","STX1B","black",0.887130241593151,"PiD_vs_CTL"
"149","STXBP1","black",0.992043408747322,"PiD_vs_CTL"
"150","STXBP5","black",0.964813177549062,"PiD_vs_CTL"
"151","STXBP5L","black",0.898869215362471,"PiD_vs_CTL"
"152","SV2B","pink",0.872977012633271,"PiD_vs_CTL"
